t,firm_id,firm_name,inbound_units,outbound_units,open_orders
6,44,firm54,1260.0,1456.0,3
6,45,firm55,229288.0,32920.0,56
6,46,firm56,0.0,0.0,1
6,47,firm57,36548.0,28714.0,21
6,48,firm58,1600.0,224.0,1
6,49,firm59,53228.0,88.0,24
6,50,firm60,0.0,0.0,1
6,51,firm61,0.0,0.0,5
6,52,firm64,14256.0,28.0,36
6,53,firm66,6853.0,273.0,10
6,54,firm67,198.0,15.0,41
6,55,firm68,162.0,0.0,33
6,56,firm69,720.0,72.0,5
6,57,firm70,314.0,29.0,37
6,58,firm71,380.0,0.0,4
6,59,firm72,840.0,0.0,16
6,60,firm73,7.0,0.0,4
6,61,firm74,133.0,40.0,2
6,62,firm76,2943.0,132.0,129
6,63,firm77,7.0,0.0,4
6,64,firm78,33280.0,0.0,47
6,65,firm80,17662.0,36.0,46
6,66,firm82,7380.0,0.0,18
6,67,firm83,92.0,0.0,4
6,68,firm84,144.0,10.0,19
6,69,firm86,216.0,0.0,45
6,70,firm87,1380.0,24.0,10
6,71,firm88,117.0,0.0,24
6,72,firm89,0.0,0.0,1
6,73,firm90,35.0,0.0,116
6,74,firm91,435.0,0.0,123
6,75,firm92,0.0,0.0,25
6,76,firm93,0.0,0.0,6
6,77,firm94,0.0,0.0,1
6,78,firm95,0.0,0.0,50
6,79,firm96,0.0,0.0,8
6,80,firm99,0.0,0.0,2
6,81,firm100,0.0,0.0,16
6,82,firm101,0.0,0.0,16
6,83,firm102,0.0,0.0,16
6,84,firm103,12.0,0.0,1
6,85,firm106,0.0,0.0,51
6,86,firm107,0.0,0.0,21
6,87,firm109,0.0,0.0,18
6,88,firm110,0.0,0.0,4
6,89,firm111,0.0,0.0,2
6,90,firm113,0.0,0.0,12
6,91,firm115,0.0,0.0,3
6,92,firm116,72.0,0.0,26
6,93,firm117,0.0,0.0,8
6,94,firm118,0.0,0.0,0
6,95,firm120,0.0,0.0,16
6,96,firm121,0.0,0.0,24
6,97,firm122,0.0,0.0,16
6,98,firm124,0.0,0.0,8
6,99,firm127,0.0,0.0,5
6,100,firm128,0.0,0.0,8
6,101,firm129,0.0,0.0,30
6,102,firm131,0.0,0.0,8
6,103,firm132,0.0,0.0,25
6,104,firm133,0.0,0.0,16
6,105,firm134,0.0,0.0,24
6,106,firm135,0.0,0.0,35
6,107,firm136,0.0,0.0,23
6,108,firm137,0.0,0.0,16
6,109,firm138,0.0,0.0,26
6,110,firm139,0.0,0.0,16
6,111,firm141,0.0,0.0,41
6,112,firm142,0.0,0.0,16
6,113,firm143,0.0,0.0,25
6,114,firm145,0.0,0.0,8
6,115,firm146,0.0,0.0,26
6,116,firm147,0.0,0.0,18
6,117,firm148,0.0,0.0,35
6,118,firm149,0.0,0.0,24
7,0,firm0,20180.0,102120.0,9
7,1,firm1,58512.0,4416.0,4
7,2,firm2,47952.0,0.0,6
7,3,firm4,58164.0,228757.0,28
7,4,firm5,46695.0,249976.0,24
7,5,firm6,32.0,37384.0,4
7,6,firm7,0.0,3080.0,5
7,7,firm8,608.0,56626.0,6
7,8,firm9,48368.0,3668.0,11
7,9,firm10,0.0,224.0,1
7,10,firm11,0.0,2924.0,4
7,11,firm12,1200.0,560.0,7
7,12,firm13,0.0,2952.0,0
7,13,firm14,0.0,1636.0,0
7,14,firm16,3600.0,5464.0,12
7,15,firm17,0.0,19832.0,0
7,16,firm18,4000.0,45200.0,16
7,17,firm19,198420.0,12362.0,16
7,18,firm20,0.0,1440.0,1
7,19,firm21,0.0,332.0,3
7,20,firm23,0.0,35192.0,2
7,21,firm24,131328.0,8772.0,4
7,22,firm25,13008.0,15.0,4
7,23,firm29,67533.0,552129.0,80
7,24,firm30,0.0,2034.0,10
7,25,firm31,58476.0,14408.0,23
7,26,firm32,352.0,865.0,15
7,27,firm33,49552.0,16885.0,40
7,28,firm34,720.0,8.0,1
7,29,firm36,105.0,4922.0,10
7,30,firm37,35088.0,144.0,12
7,31,firm39,1560.0,680.0,2
7,32,firm40,86060.0,5793.0,13
7,33,firm42,327.0,20.0,15
7,34,firm43,0.0,0.0,0
7,35,firm44,9610.0,4546.0,53
7,36,firm45,0.0,0.0,2
7,37,firm46,86684.0,938.0,25
7,38,firm47,19872.0,2034.0,39
7,39,firm48,11376.0,192.0,9
7,40,firm49,36624.0,16328.0,10
7,41,firm50,49998.0,8618.0,64
7,42,firm52,360.0,72.0,6
7,43,firm53,272.0,24.0,9
7,44,firm54,6660.0,252.0,3
7,45,firm55,95072.0,29591.0,55
7,46,firm56,504.0,0.0,2
7,47,firm57,119545.0,4562.0,21
7,48,firm58,0.0,320.0,1
7,49,firm59,26131.0,7604.0,23
7,50,firm60,40.0,0.0,1
7,51,firm61,832.0,0.0,6
7,52,firm64,9240.0,1188.0,41
7,53,firm66,619.0,979.0,11
7,54,firm67,28551.0,22.0,42
7,55,firm68,686.0,18.0,34
7,56,firm69,288.0,80.0,5
7,57,firm70,1478.0,42.0,41
7,58,firm71,240.0,76.0,3
7,59,firm72,4012.0,0.0,19
7,60,firm73,0.0,0.0,3
7,61,firm74,0.0,19.0,1
7,62,firm76,11265.0,392.0,145
7,63,firm77,7.0,0.0,4
7,64,firm78,6773.0,2868.0,38
7,65,firm80,12936.0,1623.0,53
7,66,firm82,7728.0,0.0,21
7,67,firm83,48.0,0.0,4
7,68,firm84,2304.0,12.0,24
7,69,firm86,7886.0,20.0,45
7,70,firm87,2920.0,138.0,14
7,71,firm88,2986.0,12.0,26
7,72,firm89,24.0,0.0,1
7,73,firm90,782.0,0.0,133
7,74,firm91,2127.0,32.0,131
7,75,firm92,0.0,0.0,29
7,76,firm93,0.0,0.0,6
7,77,firm94,0.0,0.0,1
7,78,firm95,532.0,0.0,58
7,79,firm96,10.0,0.0,9
7,80,firm99,0.0,0.0,2
7,81,firm100,11.0,0.0,18
7,82,firm101,13.0,0.0,18
7,83,firm102,984.0,0.0,17
7,84,firm103,24.0,0.0,1
7,85,firm106,576.0,0.0,59
7,86,firm107,1424.0,0.0,24
7,87,firm109,297.0,0.0,23
7,88,firm110,0.0,0.0,4
7,89,firm111,0.0,0.0,2
7,90,firm113,0.0,0.0,13
7,91,firm115,0.0,0.0,3
7,92,firm116,94.0,8.0,29
7,93,firm117,1040.0,0.0,9
7,94,firm118,0.0,0.0,2
7,95,firm120,0.0,0.0,18
7,96,firm121,0.0,0.0,28
7,97,firm122,31.0,0.0,18
7,98,firm124,0.0,0.0,9
7,99,firm127,0.0,0.0,7
7,100,firm128,0.0,0.0,9
7,101,firm129,0.0,0.0,34
7,102,firm131,20.0,0.0,9
7,103,firm132,16.0,0.0,28
7,104,firm133,8.0,0.0,18
7,105,firm134,0.0,0.0,28
7,106,firm135,0.0,0.0,41
7,107,firm136,0.0,0.0,25
7,108,firm137,26.0,0.0,18
7,109,firm138,0.0,0.0,30
7,110,firm139,0.0,0.0,18
7,111,firm141,0.0,0.0,47
7,112,firm142,0.0,0.0,18
7,113,firm143,0.0,0.0,29
7,114,firm145,0.0,0.0,9
7,115,firm146,0.0,0.0,30
7,116,firm147,0.0,0.0,21
