t,firm_id,firm_name,inbound_units,outbound_units,open_orders
41,37,firm52,2387.0,2911.0,18
41,38,firm53,10492.0,1124.0,10
41,39,firm54,13926.0,16.0,8
41,40,firm55,11872.0,1769.0,22
41,41,firm56,43014.0,5251.0,36
41,42,firm57,42003.0,13230.0,26
41,43,firm58,3682.0,215.0,10
41,44,firm59,39024.0,0.0,5
41,45,firm60,2144.0,260.0,51
41,46,firm61,1874.0,0.0,5
41,47,firm62,1018.0,1088.0,16
41,48,firm63,1355.0,197.0,28
41,49,firm64,4502.0,0.0,82
41,50,firm65,2520.0,0.0,10
41,51,firm66,192.0,910.0,33
41,52,firm67,2363.0,9.0,49
41,53,firm68,1710.0,0.0,4
41,54,firm69,192.0,0.0,7
41,55,firm70,5112.0,404.0,58
41,56,firm71,8224.0,3052.0,44
41,57,firm72,1618.0,633.0,43
41,58,firm74,18439.0,1760.0,40
41,59,firm76,1276.0,0.0,9
41,60,firm78,4254.0,192.0,43
41,61,firm79,4686.0,21.0,31
41,62,firm80,15286.0,3861.0,224
41,63,firm81,944.0,786.0,51
41,64,firm82,45.0,0.0,2
41,65,firm83,313.0,0.0,14
41,66,firm85,1652.0,292.0,40
41,67,firm87,90.0,27.0,7
41,68,firm88,0.0,0.0,1
41,69,firm91,108.0,0.0,21
41,70,firm92,18.0,8.0,35
41,71,firm93,283.0,54.0,28
41,72,firm95,117.0,0.0,23
41,73,firm96,495.0,52.0,46
41,74,firm97,156.0,12.0,6
41,75,firm98,49.0,39.0,31
41,76,firm99,80.0,0.0,42
41,77,firm100,0.0,0.0,5
41,78,firm101,0.0,0.0,1
41,79,firm103,144.0,6.0,41
41,80,firm106,1523.0,0.0,44
41,81,firm107,92.0,80.0,83
41,82,firm108,5237.0,38.0,142
41,83,firm109,1368.0,244.0,72
41,84,firm110,32.0,0.0,27
41,85,firm111,120.0,20.0,19
41,86,firm113,50.0,0.0,17
41,87,firm114,187.0,36.0,48
41,88,firm115,359.0,102.0,69
41,89,firm116,301.0,9.0,27
41,90,firm117,242.0,2.0,28
41,91,firm118,499.0,150.0,32
41,92,firm119,57.0,0.0,78
41,93,firm120,38.0,4.0,22
41,94,firm121,74.0,0.0,39
41,95,firm122,54.0,0.0,40
41,96,firm123,70.0,0.0,41
41,97,firm124,67.0,9.0,32
41,98,firm125,49.0,38.0,33
41,99,firm126,204.0,15.0,42
41,100,firm127,12.0,0.0,14
41,101,firm130,11.0,0.0,27
41,102,firm131,26.0,0.0,12
41,103,firm132,12.0,117.0,91
41,104,firm134,72.0,3.0,28
41,105,firm135,155.0,0.0,55
41,106,firm136,19.0,0.0,25
41,107,firm137,6.0,20.0,27
41,108,firm138,47.0,4.0,20
41,109,firm140,184.0,32.0,66
41,110,firm142,96.0,23.0,75
41,111,firm143,94.0,0.0,52
41,112,firm144,20.0,0.0,24
41,113,firm145,7.0,0.0,19
41,114,firm146,20.0,0.0,33
41,115,firm147,70.0,11.0,29
41,116,firm148,18.0,0.0,33
41,117,firm149,49.0,28.0,40
42,0,firm0,0.0,968.0,0
42,1,firm1,43518.0,121630.0,33
42,2,firm2,0.0,48064.0,1
42,3,firm3,20440.0,81176.0,17
42,4,firm4,864.0,26384.0,5
42,5,firm6,24384.0,25222.0,15
42,6,firm7,44520.0,3292.0,12
42,7,firm11,0.0,15602.0,1
42,8,firm12,2736.0,4320.0,5
42,9,firm13,37904.0,48658.0,21
42,10,firm14,31204.0,58504.0,22
42,11,firm17,42870.0,12447.0,8
42,12,firm19,104216.0,119887.0,30
42,13,firm22,89202.0,247166.0,16
42,14,firm23,134962.0,80037.0,61
42,15,firm24,23418.0,71067.0,14
42,16,firm26,27864.0,58239.0,22
42,17,firm27,0.0,0.0,0
42,18,firm28,8832.0,1429.0,4
42,19,firm29,9100.0,3946.0,9
42,20,firm30,19639.0,4413.0,46
42,21,firm32,25613.0,530.0,28
42,22,firm33,980.0,196.0,8
42,23,firm34,18939.0,3154.0,18
42,24,firm36,11543.0,7136.0,43
42,25,firm37,33395.0,5298.0,47
42,26,firm38,0.0,0.0,0
42,27,firm39,3494.0,1733.0,14
42,28,firm41,2384.0,767.0,12
42,29,firm42,0.0,0.0,1
42,30,firm43,35796.0,11158.0,13
42,31,firm45,9933.0,444.0,17
42,32,firm46,16051.0,0.0,7
42,33,firm47,3424.0,391.0,4
