t,product_id,product_name,tx_units,open_orders,backlog_units,shock_severity
35,14,product14,99805.0,57,0.0,0.0
35,15,product15,0.0,14,27.0,0.0
35,16,product16,1528.0,9,0.0,0.0
35,17,product17,0.0,25,49.0,0.0
35,18,product18,5462.0,182,0.0,0.0
35,19,product19,368.0,81,0.0,0.0
35,20,product20,5809.0,59,0.0,0.0
35,21,product21,3191.0,173,0.0,0.0
35,22,product22,1238.0,122,0.0,0.0
35,23,product23,3928.0,62,0.0,0.0
35,24,product24,6905.0,165,0.0,0.0
35,25,product25,60.0,272,0.0,0.0
35,26,product26,54.0,180,0.0,0.0
35,27,product27,430.0,44,0.0,0.0
35,28,product28,456.0,277,0.0,0.0
35,29,product29,328.0,14,0.0,0.0
35,30,product30,94.0,21,0.0,0.0
35,31,product31,71.0,30,0.0,0.0
35,32,product32,27.0,214,0.0,0.0
35,33,product33,0.0,92,0.0,0.0
35,34,product34,178.0,154,0.0,0.0
35,35,product35,0.0,153,294.0,0.0
35,36,product36,0.0,158,333.0,0.0
35,37,product37,65.0,225,0.0,0.0
35,38,product38,8.0,44,0.0,0.0
35,39,product39,14.0,70,0.0,0.0
35,40,product40,21.0,193,0.0,0.0
35,41,product41,94.0,159,0.0,0.0
35,42,product42,306.0,287,0.0,0.0
35,43,product43,118.0,87,0.0,0.0
35,44,product44,0.0,167,0.0,0.0
35,45,product45,0.0,190,549.0,0.0
35,46,product46,0.0,110,195.0,0.0
35,47,product47,0.0,115,195.0,0.0
35,48,product48,0.0,201,542.0,0.0
35,49,product49,0.0,227,348.0,0.0
36,0,product0,164048.0,24,0.0,0.000565
36,1,product1,251636.0,14,0.0,0.0
36,2,product2,358460.0,20,0.0,0.000559
36,3,product3,121691.0,17,0.0,0.000749
36,4,product4,91840.0,50,0.0,0.9135
36,5,product5,31424.0,105,0.0,0.0
36,6,product6,1196.0,6,0.0,0.0
36,7,product7,36321.0,42,0.0,0.0
36,8,product8,12.0,5,0.0,0.0
36,9,product9,1740.0,15,0.0,0.0
36,10,product10,456.0,44,0.0,0.0
